sys_exit_group called (brctr = 411240236)
  do_group_exit called (ip = 0xc011d470)
    do_exit called (ip = 0xc011cbf0)
      exit_mm called (ip = 0xc011b620)
        mm_release called (ip = 0xc0117d40)
        mm_release returned (ip = 0xc0117dc6)
        down_read called (ip = 0xc0130d00)
        down_read returned (ip = 0xc0130d0f)
        up_read called (ip = 0xc0130d70)
        up_read returned (ip = 0xc0130d81)
        mmput called (ip = 0xc0117e20)
          exit_aio called (ip = 0xc017b600)
          exit_aio returned (ip = 0xc017b684)
          exit_mmap called (ip = 0xc014c3b0)
            _arch_exit_mmap called (ip = 0xc010f660)
              UNKNOWN FUNCTION (0xC0101340) CALLED (BRCTR = 411240534)
            _arch_exit_mmap returned (ip = 0xc010f6b5)
            lru_add_drain called (ip = 0xc01418c0)
              __pagevec_lru_add_active called (ip = 0xc01416b0)
                release_pages called (ip = 0xc01414f0)
                release_pages returned (ip = 0xc014164c)
              __pagevec_lru_add_active returned (ip = 0xc0141787)
            lru_add_drain returned (ip = 0xc01418ed)
            unmap_vmas called (ip = 0xc0147150)
              page_address called (ip = 0xc01451a0)
              page_address returned (ip = 0xc01451ed)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fc82)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fc82)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fc82)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fc82)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fc82)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fc82)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
              mark_page_accessed called (ip = 0xc0141b40)
              mark_page_accessed returned (ip = 0xc0141b5e)
              page_remove_rmap called (ip = 0xc014fc70)
              page_remove_rmap returned (ip = 0xc014fcb7)
              free_page_and_swap_cache called (ip = 0xc01526c0)
                put_page called (ip = 0xc01419d0)
                put_page returned (ip = 0xc01419f0)
              free_page_and_swap_cache returned (ip = 0xc01526e8)
              vm_normal_page called (ip = 0xc01465b0)
              vm_normal_page returned (ip = 0xc0146648)
